Date,Region,Bed_TOT,BedAdult_TOT,CriticalCare,ED,Inpatient,Inpatient_Used,InpatientAdult,InpatientAdult_Used,ICU,ICU_Used,ICUAdult,ICUAdult_Used,BurnCare,MedSurg,Obstetric,OR,InpatientPediatric,InpatientPediatric_Used,PediatricICU,Psychiatric,Morgue_Avail,Morgue_TOT,NegPress_Avail,NegPress_TOT,MechVent_Used,MechVent,Vent_Avail,Vent_TOT,NumInpatients,NumInpatients_Crit,NumInpatients_Vent,NumInpatient_Dis,AdultCases_TOT,AdultCases_TOT_pos,PedCases_TOT,PedCases_TOT_pos,VentedCases,AdultCases_ICU,AdultCases_ICU_pos,EDCases_Prev,Elasto_Filters,Elasto_Resp,PAPR_Batteries,PAPR_Filters,PAPRs,CAPRs,Respirators_TOT,Gloves,Coveralls,Isolation_Gowns,Surgical_Gowns,Surgical_Masks,N95_Masks,Shields,Goggles,EyeProtect_TOT,Gowns_TOT,GownsReuse_TOT,Gloves_0_3,Gloves_4_7,N95_0_3,N95_4_7,SurgicalMasks_0_3,SurgicalMasks_4_7,EyeProtect_0_3,EyeProtect_4_7,Gowns_0_3,Gowns_4_7,Reporting_Capacity,Reporting_PPE,Notes,Link
2020-04-02,1,1732,,80,251,,,,,,,78,,0,419,92,37,44,,9,51,19,,135,142,,,125,,,,,,,,,,,,,,,,,,,,,858433,7008,28434,25224,280416,28523,,,,,,,,,,,,,,,,89%,81%,"Data is self-reported by hospitals daily to the EM Resource System per MDHHS Director Robert Gordon’s Emergency Order. 
Changes in inventory numbers have likely occurred since reporting was completed. 
This information will be updated daily by 7 p.m. 
Information about Healthcare Coalition Regions is available on the MDHHS website.","https://web.archive.org/web/20200403185516/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html"
2020-04-02,2N,3098,,71,255,,,,,,,91,,0,592,163,37,80,,3,92,76,,76,162,,,147,,,,,,,,,,,,,,,,,,,,,1643983,2148,46639,30929,295068,72811,,,,,,,,,,,,,,,,89%,81%,"Data is self-reported by hospitals daily to the EM Resource System per MDHHS Director Robert Gordon’s Emergency Order. 
Changes in inventory numbers have likely occurred since reporting was completed. 
This information will be updated daily by 7 p.m. 
Information about Healthcare Coalition Regions is available on the MDHHS website.","https://web.archive.org/web/20200403185516/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html"
2020-04-02,2S,4042,,74,380,,,,,,,75,,24,534,150,28,150,,54,48,56,,89,113,,,412,,,,,,,,,,,,,,,,,,,,,1863588,9504,38917,24301,584129,244434,,,,,,,,,,,,,,,,89%,81%,"Data is self-reported by hospitals daily to the EM Resource System per MDHHS Director Robert Gordon’s Emergency Order. 
Changes in inventory numbers have likely occurred since reporting was completed. 
This information will be updated daily by 7 p.m. 
Information about Healthcare Coalition Regions is available on the MDHHS website.","https://web.archive.org/web/20200403185516/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html"
2020-04-02,3,3464,,213,388,,,,,,,101,,1,784,83,83,93,,10,89,58,,105,198,,,68,,,,,,,,,,,,,,,,,,,,,1013496,2184,65333,24308,109550,55577,,,,,,,,,,,,,,,,89%,81%,"Data is self-reported by hospitals daily to the EM Resource System per MDHHS Director Robert Gordon’s Emergency Order. 
Changes in inventory numbers have likely occurred since reporting was completed. 
This information will be updated daily by 7 p.m. 
Information about Healthcare Coalition Regions is available on the MDHHS website.","https://web.archive.org/web/20200403185516/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html"
2020-04-02,5,1567,,66,213,,,,,,,71,,12,509,70,46,34,,1,54,26,,150,141,,,126,,,,,,,,,,,,,,,,,,,,,410066,856,37427,117680,51213,62477,,,,,,,,,,,,,,,,89%,81%,"Data is self-reported by hospitals daily to the EM Resource System per MDHHS Director Robert Gordon’s Emergency Order. 
Changes in inventory numbers have likely occurred since reporting was completed. 
This information will be updated daily by 7 p.m. 
Information about Healthcare Coalition Regions is available on the MDHHS website.","https://web.archive.org/web/20200403185516/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html"
2020-04-02,6,1624,,104,454,,,,,,,100,,6,811,131,63,91,,27,26,65,,107,71,,,402,,,,,,,,,,,,,,,,,,,,,1271642,2370,25967,12236,159930,42023,,,,,,,,,,,,,,,,89%,81%,"Data is self-reported by hospitals daily to the EM Resource System per MDHHS Director Robert Gordon’s Emergency Order. 
Changes in inventory numbers have likely occurred since reporting was completed. 
This information will be updated daily by 7 p.m. 
Information about Healthcare Coalition Regions is available on the MDHHS website.","https://web.archive.org/web/20200403185516/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html"
2020-04-02,7,1056,,16,151,,,,,,,22,,0,366,55,22,30,,0,4,30,,42,104,,,89,,,,,,,,,,,,,,,,,,,,,1402994,518,15298,4252,88173,14891,,,,,,,,,,,,,,,,89%,81%,"Data is self-reported by hospitals daily to the EM Resource System per MDHHS Director Robert Gordon’s Emergency Order. 
Changes in inventory numbers have likely occurred since reporting was completed. 
This information will be updated daily by 7 p.m. 
Information about Healthcare Coalition Regions is available on the MDHHS website.","https://web.archive.org/web/20200403185516/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html"
2020-04-02,8,541,,18,148,,,,,,,30,,0,211,47,38,42,,0,33,24,,54,57,,,51,,,,,,,,,,,,,,,,,,,,,435983,1599,19345,5287,112106,29505,,,,,,,,,,,,,,,,89%,81%,"Data is self-reported by hospitals daily to the EM Resource System per MDHHS Director Robert Gordon’s Emergency Order. 
Changes in inventory numbers have likely occurred since reporting was completed. 
This information will be updated daily by 7 p.m. 
Information about Healthcare Coalition Regions is available on the MDHHS website.","https://web.archive.org/web/20200403185516/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html"
2020-04-03,1,1732,,69,258,,,,,,,422,,45,0,36,125,9,,50,137,22,,30,91,,,7,,,,,,,,,,,,,,,,,,,,,875845,7008,51963,26513,404997,29130,10779,1131,,,,,,,,,,,,,,89%,81%,"Data is self-reported by hospitals daily to the EM Resource System per MDHHS Director Robert Gordon’s Emergency Order. 
Changes in inventory numbers have likely occurred since reporting was completed. 
This information will be updated daily by 7 p.m. 
Information about Healthcare Coalition Regions is available on the MDHHS website.","https://web.archive.org/web/20200404135915/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html"
2020-04-03,2N,3274,,92,211,,,,,,,505,,70,0,38,119,13,,49,53,96,,171,165,,,621,,,,,,,,,,,,,,,,,,,,,1752192,2366,50200,28021,365913,68991,44958,11304,,,,,,,,,,,,,,89%,81%,"Data is self-reported by hospitals daily to the EM Resource System per MDHHS Director Robert Gordon’s Emergency Order. 
Changes in inventory numbers have likely occurred since reporting was completed. 
This information will be updated daily by 7 p.m. 
Information about Healthcare Coalition Regions is available on the MDHHS website.","https://web.archive.org/web/20200404135915/https://www.michigan.gov/coronavirus/0,9753,7-406-98159-523641--,00.html"
